PING 10.0.0.3 (10.0.0.3) 56(84) bytes of data.
64 bytes from 10.0.0.3: icmp_seq=1 ttl=64 time=18.6 ms
64 bytes from 10.0.0.3: icmp_seq=2 ttl=64 time=19.8 ms
64 bytes from 10.0.0.3: icmp_seq=3 ttl=64 time=26.9 ms
64 bytes from 10.0.0.3: icmp_seq=4 ttl=64 time=22.5 ms
64 bytes from 10.0.0.3: icmp_seq=5 ttl=64 time=25.0 ms
64 bytes from 10.0.0.3: icmp_seq=6 ttl=64 time=29.0 ms
64 bytes from 10.0.0.3: icmp_seq=7 ttl=64 time=19.4 ms
64 bytes from 10.0.0.3: icmp_seq=11 ttl=64 time=18.7 ms
64 bytes from 10.0.0.3: icmp_seq=12 ttl=64 time=29.4 ms
